TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,43.87819313,-79.42728666,19338,8492,5556,2727,3
140,43.74642852,-79.75362093,27035,8915,5949,3002,3
748,43.59339743,-79.67711027,20220,6132,5081,2679,3
1035,43.76878206,-79.44613491,9795,3181,3930,2403,3
1141,43.4181211,-79.70829243,29949,8719,5920,2854,3
1199,43.69593689,-79.41038324,3006,1245,2141,1274,1
1266,43.73860923,-79.39184577,7164,2584,3190,2083,3
1342,43.76548832,-79.26491083,14106,4612,4011,2247,3
1383,43.64425552,-79.50935017,7455,2272,1838,1981,2
1613,43.76084529,-79.77608096,28809,9620,7258,3028,3
1837,43.68583872,-79.80068628,29754,9197,5278,3222,3
2004,43.83403609,-79.27197251,20625,6488,5066,2631,3
2201,43.77935085,-79.73781995,26724,8463,6277,3270,3
2673,43.51861567,-79.84187167,34628,10577,7000,3391,3
2905,43.65143533,-79.55816088,10522,3356,3023,1994,3
3052,43.787757,-79.44885477,11371,4535,4391,2589,3
3463,43.70725554,-79.36474355,4933,1769,2732,1769,3
3577,43.76060536,-79.32494393,11704,4187,3921,1883,3
3640,44.06079692,-79.47186081,34738,12630,5998,3499,3
3969,43.74518748,-79.55452793,14701,4781,5168,2702,3
