TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,43.87819313,-79.42728666,25655,7828,4710,2405,3
12,43.84193031,-79.419116,22471,7890,3163,1960,3
26,43.89151585,-79.39477309,28034,9408,4983,2386,3
27,43.88403805,-79.39927716,27224,8317,5154,2355,3
28,43.88293091,-79.41067965,26679,8203,5267,2400,3
32,43.90082624,-79.4572829,26950,8288,5321,2532,3
48,43.89158087,-79.45590017,25974,8002,4904,2396,3
95,44.02640166,-79.48786229,37292,10932,6722,2905,3
108,44.03769299,-79.48932435,37986,11123,6764,2883,3
117,43.56241774,-79.6954273,13766,3725,4121,1808,3
126,43.57570145,-79.78059164,16962,5380,5017,2042,3
127,43.58080749,-79.62161811,11275,3310,3319,1757,3
128,43.57350932,-79.6298581,12108,3570,3652,1861,3
130,43.83445911,-79.09096793,36116,11942,5405,2697,3
132,43.84344261,-79.07197365,37825,12354,6990,2566,3
135,44.03422992,-79.44949228,39057,11237,7333,3159,3
136,44.03992726,-79.42616405,40646,11850,7895,2866,3
137,43.69462564,-79.78962089,13874,4153,4069,2076,3
138,43.68529018,-79.77592785,12766,3782,3752,2156,3
139,43.74252764,-79.75983744,11664,3498,3374,1927,3
140,43.74642852,-79.75362093,11502,3589,4268,1970,3
141,43.87919127,-79.72424288,19521,5431,5365,2364,3
142,43.86468885,-79.71031266,17866,4997,4812,2170,3
143,43.79643098,-79.83810836,18360,5110,200000,2147,3
144,43.73788175,-79.90244535,22986,6928,200000,2466,3
145,43.56885561,-79.70674377,13855,3784,4015,1852,3
160,43.94494383,-79.46825351,30575,8919,5619,2581,3
166,43.95463758,-79.47051899,31591,9217,5834,2684,3
167,43.95456427,-79.44444974,32047,9434,5928,2740,3
170,43.62517883,-79.66599318,9048,2513,3693,1591,3
171,43.63979344,-79.6284325,6256,1699,1565,1338,3
172,43.72180413,-79.63297227,4096,1271,1657,1234,3
173,43.71862912,-79.62912018,3709,1180,2115,1145,3
177,43.61614555,-79.70231018,11561,3450,3695,1538,3
178,43.60653333,-79.71485171,12764,3702,3971,1669,3
193,44.04671017,-79.49230804,38620,11297,7056,2827,3
205,43.84526215,-79.51563887,19511,6069,4662,2014,3
208,43.79295268,-79.5547875,13296,4238,3292,1660,3
282,43.80056513,-79.55079357,14065,4433,3511,1719,3
285,43.80715393,-79.51220975,17738,5491,5263,2011,3
295,43.83581302,-79.48792561,19790,6084,4964,1865,3
453,43.69745607,-79.39143902,14839,4790,3136,2332,3
499,43.80648486,-79.61108453,12936,3626,5709,1831,3
500,43.80490973,-79.5927968,13688,4225,4607,1806,3
506,43.85803871,-79.53409025,19849,6064,4881,1837,3
536,43.78153001,-79.23026044,26609,9790,5875,2177,3
538,43.79914926,-79.26838405,25882,9072,6375,2353,3
539,43.8040996,-79.2539519,26838,9239,6230,2291,3
552,43.77770667,-79.24815149,25485,9508,5490,2098,3
642,43.84826695,-79.26020318,29997,9628,6591,2402,3
643,43.83837727,-79.25933045,29275,9390,6427,2452,3
644,43.83950666,-79.29788057,27662,8931,4802,2224,3
670,43.86282284,-79.24322639,32965,10421,6034,2494,3
682,43.64207378,-79.41579819,15027,4322,4180,2098,3
684,43.64322176,-79.40721021,15311,4418,3096,2114,3
685,43.87209444,-79.24669791,33249,10549,5912,2545,3
702,43.64503639,-79.74086054,11671,3344,4903,1714,3
703,43.62461832,-79.7661802,13472,3761,5544,1741,3
726,43.87565743,-79.37119401,28440,9349,5219,2255,3
728,43.88581569,-79.32879195,30493,9981,5946,2547,3
736,43.68084606,-79.78974028,13998,4180,5506,2136,3
737,43.61322998,-79.75684278,13074,3791,4672,1657,3
738,43.61859577,-79.7281434,11537,4177,4466,1776,3
739,43.81507925,-79.56500043,15517,4911,5805,1947,3
740,43.75140322,-79.74801222,11268,3767,4267,2015,3
744,43.76261203,-79.73461228,10184,3219,3970,2028,3
745,43.67093255,-79.65491606,6710,1855,2442,1508,3
747,43.60396313,-79.69099115,11292,3368,3461,1706,3
748,43.59339743,-79.67711027,11065,3063,2863,1647,3
