TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,43.87819313,-79.42728666,21226,8824,2931,2635,3
12,43.84193031,-79.419116,18135,7241,2711,2348,3
26,43.89151585,-79.39477309,23611,8398,5238,2503,3
27,43.88403805,-79.39927716,22801,8302,4439,2472,3
28,43.88293091,-79.41067965,22256,8519,4397,2516,3
32,43.90082624,-79.4572829,23586,9948,5938,3074,3
48,43.89158087,-79.45590017,22869,9637,5244,2896,3
95,44.02640166,-79.48786229,34306,12723,6127,3538,3
108,44.03769299,-79.48932435,35072,13005,6208,3456,3
117,43.56241774,-79.6954273,23608,7183,4235,2636,3
126,43.57570145,-79.78059164,30030,9316,4580,2870,3
127,43.58080749,-79.62161811,17461,5211,1897,2054,2
128,43.57350932,-79.6298581,18196,5475,2769,2225,3
130,43.83445911,-79.09096793,24654,7956,3142,2711,3
132,43.84344261,-79.07197365,26363,8368,3871,2580,3
135,44.03422992,-79.44949228,34816,12013,5554,3276,3
136,44.03992726,-79.42616405,36223,12016,6232,2983,3
137,43.69462564,-79.78962089,30683,9960,4809,2904,3
138,43.68529018,-79.77592785,29575,9589,3529,2984,3
139,43.74252764,-79.75983744,28978,9808,5003,2755,3
140,43.74642852,-79.75362093,28816,9899,5905,2798,3
141,43.87919127,-79.72424288,32880,10819,5442,3405,3
142,43.86468885,-79.71031266,31225,10385,4889,3211,3
143,43.79643098,-79.83810836,35674,11420,200000,2975,3
144,43.73788175,-79.90244535,39737,12735,200000,3294,3
145,43.56885561,-79.70674377,24194,7242,3320,2713,3
160,43.94494383,-79.46825351,27408,10891,4030,3087,3
166,43.95463758,-79.47051899,28052,11087,4843,3087,3
167,43.95456427,-79.44444974,27806,10626,4846,2978,3
170,43.62517883,-79.66599318,20503,6765,4550,2419,3
171,43.63979344,-79.6284325,17561,6005,3426,2166,3
172,43.72180413,-79.63297227,19995,7072,3822,2275,3
173,43.71862912,-79.62912018,19608,7036,3610,2186,3
177,43.61614555,-79.70231018,23348,7101,4672,2366,3
178,43.60653333,-79.71485171,24289,7378,4612,2497,3
193,44.04671017,-79.49230804,35544,13206,5383,3534,3
205,43.84526215,-79.51563887,21787,7616,4328,2936,3
208,43.79295268,-79.5547875,20058,7235,4166,2658,3
282,43.80056513,-79.55079357,20588,7395,4595,2717,3
285,43.80715393,-79.51220975,21888,6802,5775,2932,3
295,43.83581302,-79.48792561,19439,6879,4073,2567,3
453,43.69745607,-79.39143902,5095,2290,1438,1719,2
499,43.80648486,-79.61108453,22991,8266,6324,2872,3
500,43.80490973,-79.5927968,22584,8095,5389,2847,3
506,43.85803871,-79.53409025,23749,7420,4307,2817,3
536,43.78153001,-79.23026044,16993,6015,3732,2214,3
538,43.79914926,-79.26838405,18410,5996,4852,2376,3
539,43.8040996,-79.2539519,19018,6106,4436,2314,3
552,43.77770667,-79.24815149,16275,5733,3442,2121,3
642,43.84826695,-79.26020318,23068,8242,6108,2555,3
643,43.83837727,-79.25933045,22390,8004,5749,2605,3
644,43.83950666,-79.29788057,21228,7545,3928,2377,3
670,43.86282284,-79.24322639,25686,9035,5836,2647,3
682,43.64207378,-79.41579819,2394,1010,1260,1512,1
684,43.64322176,-79.40721021,1917,855,1099,1390,1
685,43.87209444,-79.24669791,25906,9163,5334,2698,3
702,43.64503639,-79.74086054,26899,8185,5652,2542,3
703,43.62461832,-79.7661802,28427,8661,4961,2569,3
726,43.87565743,-79.37119401,23032,8339,4516,2372,3
728,43.88581569,-79.32879195,24821,8971,5423,2645,3
736,43.68084606,-79.78974028,30809,9987,5283,2964,3
737,43.61322998,-79.75684278,27573,8356,4158,2485,3
738,43.61859577,-79.7281434,25894,7847,5099,2604,3
739,43.81507925,-79.56500043,22390,7913,5744,2868,3
740,43.75140322,-79.74801222,28582,10077,5423,2843,3
744,43.76261203,-79.73461228,27498,9400,5124,2947,3
745,43.67093255,-79.65491606,20094,6739,4919,2336,3
747,43.60396313,-79.69099115,22747,6826,4565,2534,3
748,43.59339743,-79.67711027,21766,6521,4103,2475,3
769,43.88727525,-79.30247306,25404,9362,6119,2717,3
775,43.87385234,-79.03123041,30121,9367,4483,2951,3
776,43.86904461,-79.0454452,29341,9153,4293,2872,3
808,43.89446156,-79.05890501,31090,9697,4570,3145,3
882,43.42199922,-79.77547113,33671,9939,6034,2816,3
891,43.8401965,-79.47542133,19282,6844,4089,2604,3
898,43.71189584,-79.52133388,12253,4080,2470,2282,3
900,43.71454323,-79.48495713,11124,3827,3667,2356,3
901,43.71689843,-79.47541725,10388,3843,3473,2341,3
902,43.72038939,-79.45878529,9448,3428,2434,2387,3
939,43.63840681,-79.87106917,36775,11780,6799,3215,3
946,43.70293609,-79.47888192,9814,3510,3018,2508,3
949,43.70145572,-79.54154666,12752,4542,2294,2150,3
951,43.73649842,-79.22088372,13227,4485,2471,2778,2
952,43.72780105,-79.22731761,12490,4189,2302,2675,2
953,43.76805029,-79.16368083,18065,5889,3682,2576,3
954,44.12146346,-79.5565383,43752,15254,5117,3933,3
956,43.69194212,-79.26551719,8539,2942,2342,2182,3
957,43.76211262,-79.30683946,13532,4455,4096,2057,3
958,43.758454,-79.31310854,13033,4391,3736,2062,3
962,43.63895185,-79.38515174,923,581,622,1130,1
963,43.5549196,-79.73129242,26293,8241,4324,2757,3
975,43.76914886,-79.22368337,16198,5766,3448,2358,3
976,43.762079,-79.23521397,15180,5460,3332,2358,3
980,43.51459892,-79.65188082,22012,6527,3291,2188,3
981,43.52185819,-79.63731026,20698,6158,3447,2261,3
983,43.55934192,-79.59762174,17067,5261,2898,1971,3
984,43.56737158,-79.58759006,16270,5005,3259,1905,3
990,43.83720441,-79.46216873,18292,6920,4808,2455,3
991,44.07486644,-79.77304057,49565,15867,7446,4316,3
993,43.60418015,-79.60616294,15954,4866,3843,2020,3
994,43.61501219,-79.60331286,15458,4632,3067,2113,3
1001,43.98820162,-79.43060636,31303,11008,7532,2904,3
1003,43.80718033,-79.71018769,26959,9718,8158,2910,3
1004,43.73771639,-79.44594532,10363,3944,2164,2316,2
1005,43.73139751,-79.46589139,10755,3772,3065,2457,3
1007,43.57481816,-79.57999648,15519,4718,3688,1835,3
1009,43.60181728,-79.57873746,13698,4187,2524,1882,3
