TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2009,43.8336089,-79.28472739,19954,6109,5369,2648,3
2010,43.83571305,-79.27894167,20246,6296,5454,2587,3
2011,43.85883887,-79.29418189,21727,6511,4125,2493,3
2019,43.8500066,-79.29314061,20841,6388,4933,2513,3
2022,43.83922038,-79.37047285,18035,7086,10235,2115,3
2023,43.83153566,-79.3784725,16625,6516,11966,2443,3
2034,43.89768971,-79.30006085,25193,9567,12023,2786,3
2041,43.90225708,-79.27957158,26184,9857,5160,2934,3
2048,43.90752623,-79.25405071,27585,10346,5115,3027,3
2049,43.8982729,-79.25379884,26818,8068,5127,2944,3
2066,43.88724437,-79.42976493,20149,8750,5445,2804,3
2076,43.45145755,-79.73570665,29925,8799,17088,2876,3
2078,43.44422663,-79.74291021,30529,8985,17226,2903,3
2079,43.75203855,-79.77253544,28504,9118,11191,2980,3
2082,43.79682667,-79.67743399,23649,7882,13165,2973,3
2083,43.78844979,-79.67052974,22840,7713,11740,2933,3
2087,43.7792701,-79.66383183,21814,7378,5442,2845,3
2091,43.7818035,-79.68735955,23796,7972,12769,3038,3
2096,43.77146503,-79.67486358,22122,7316,5835,2865,3
2097,43.76954741,-79.65946063,20772,7072,4442,2664,3
2164,43.45273778,-79.74918549,30355,9063,17641,3021,3
2200,43.71196734,-79.32878099,6720,2332,2455,1731,3
2201,43.77935085,-79.73781995,26713,8432,11956,3234,3
2253,43.8931086,-79.27772287,25375,7673,4905,2887,3
2256,43.71508838,-79.76803469,27512,8740,8725,2808,3
2259,43.8250854,-79.62099271,22926,7873,10601,3181,3
2260,43.81660715,-79.61563264,22142,7621,10075,3075,3
2261,43.98135071,-79.23561012,35123,12162,5457,3424,3
2263,43.78981233,-79.2947122,15358,4648,3764,2321,3
2264,43.78359373,-79.29373108,14641,4618,3613,2259,3
2267,43.68016052,-79.5705696,12293,3804,3506,2185,3
2268,43.68865659,-79.56253116,12208,3787,3191,2179,3
2269,43.68019672,-79.55904824,11551,3585,3089,2155,3
2292,43.75596749,-79.59476472,16710,5696,4388,2784,3
2299,43.77033399,-79.35348611,12040,4413,3717,2120,3
2300,43.77188623,-79.72403951,25463,8090,10549,3049,3
2301,43.7827847,-79.35366026,12745,5017,3724,2221,3
2302,43.77857214,-79.35983209,12027,4685,3606,2171,3
2305,43.70846151,-79.82810153,31906,10006,10560,3448,3
2327,43.78082782,-79.31410594,13839,4178,4266,2197,3
2335,43.85967836,-79.51552731,20590,7128,4897,2889,3
2385,43.78638038,-79.40322463,12127,5405,4002,2533,3
2412,43.85393917,-79.03871134,28224,8561,4624,2784,3
2455,43.74141146,-79.24745443,12493,3662,3409,2524,3
2457,43.74278587,-79.24248073,12486,3659,3069,2521,3
2459,43.70767488,-79.25045908,9797,2887,2973,2534,3
2477,43.92761504,-79.43891826,23738,9697,5495,2806,3
2488,44.0693494,-79.46869828,35509,12958,8183,3495,3
2510,43.83654167,-79.5253523,19426,6736,4821,2814,3
2514,43.88161546,-79.20906693,26440,7989,8991,2670,3
2525,43.48098515,-79.71944637,27240,8439,14167,2791,3
2528,44.05688457,-79.49686634,34740,13365,7390,3718,3
2529,44.06422083,-79.49107296,35161,13154,7657,3655,3
2531,43.47340041,-79.71337813,27584,8253,14140,2716,3
2532,43.89245396,-79.51366176,22909,7829,5239,3105,3
2533,43.87254511,-79.47733175,19310,7070,13338,3008,3
2534,43.86340802,-79.20205015,24888,8004,10750,2784,3
2545,43.88201358,-79.03748304,30310,9175,12962,3128,3
2551,43.71748083,-79.33884658,6998,2584,2433,1807,3
2554,43.85053004,-79.49365365,18584,6403,5145,2836,3
2555,43.85435165,-79.47303945,17825,6416,10973,2820,3
2557,43.88923313,-79.23025148,26852,8061,8769,2761,3
2558,43.89438368,-79.20798794,27530,8326,9920,2840,3
2563,43.66087743,-79.79247184,29279,9309,11826,3210,3
2565,43.63856042,-79.80480388,29443,9013,13626,3104,3
2575,43.93011306,-79.46580916,24465,10536,6531,3285,3
2578,43.91241546,-79.46057865,22635,9835,5798,3112,3
2585,43.6335657,-79.89619909,36907,11387,200000,3450,3
2586,43.62681171,-79.88348016,36140,11156,200000,3425,3
2600,44.14440411,-79.35489981,46502,14587,200000,3743,3
2601,43.84865289,-79.24094114,22428,6967,7365,2752,3
2604,43.8384613,-79.54094753,21122,6481,4871,2784,3
2609,43.93571411,-79.40890297,25432,9145,6649,2650,3
2611,43.55053351,-79.73749784,25486,7838,11097,3014,3
2612,43.54444349,-79.74508412,26123,7928,13308,2885,3
2613,43.71923812,-79.76123797,27083,8507,8955,2784,3
2621,43.70947564,-79.44746147,5699,2061,1756,1879,2
2623,43.84564258,-79.52908837,20397,6308,4620,2775,3
2626,43.86156572,-79.54544258,22381,6711,4896,2904,3
2627,43.85217898,-79.54360293,21565,6500,4616,2796,3
2639,43.4424169,-79.75837764,31183,9359,17816,3032,3
2641,43.70688726,-79.46104178,6315,2334,2156,2050,3
2642,43.70761923,-79.49688616,8887,3043,3317,2351,3
2643,43.71477152,-79.49902122,9380,3057,3367,2298,3
2644,43.72904897,-79.43966552,6729,2646,2181,2051,3
2645,43.73108831,-79.503912,10843,3493,3617,2320,3
2646,43.73763589,-79.50341313,11919,3693,3479,2483,3
2647,43.49660771,-79.84809374,35336,10442,200000,3548,3
2649,43.49883133,-79.83885341,34381,10215,200000,3516,3
2651,43.64059445,-79.91712315,38416,12011,12651,3531,3
2654,43.51342849,-79.83550659,33970,10133,5785,3361,3
2656,43.52806529,-79.85095306,34550,10475,5464,3288,3
2657,43.64373387,-79.90125209,37114,11597,7364,3541,3
2658,43.48168098,-79.8646018,36704,10872,200000,3638,3
2664,43.78336873,-79.41422358,11356,5258,3366,2444,3
2667,43.67994006,-79.84857179,33119,10485,8707,3427,3
2668,43.43545021,-79.76646971,31948,9567,17494,3045,3
2669,43.43201152,-79.75418082,31661,9273,17077,3020,3
2670,43.4977517,-79.6951458,25729,7717,10064,2564,3
2671,43.48890115,-79.69842547,26127,7854,14142,2558,3
2672,43.52341,-79.83099886,33627,10009,5231,3285,3
2673,43.51861567,-79.84187167,34565,10510,5009,3358,3
2732,43.75527266,-79.74075901,26309,8558,9866,3033,3
2759,43.5247241,-79.8455101,34578,10427,5054,3358,3
2760,43.4966882,-79.88720078,38396,11461,200000,3657,3
2761,43.78313237,-79.73071711,26071,8303,8781,3140,3
2765,43.75995795,-79.74879931,26832,8710,11159,3106,3
2805,43.84570356,-79.0040504,30367,9641,13096,3000,3
2808,43.86280917,-78.99952115,30440,9004,5280,2964,3
2809,43.68614097,-79.35189525,3496,1205,1753,1543,1
2817,43.73085995,-79.30816824,9319,2844,3055,1963,3
2818,43.73462742,-79.31905272,9933,3030,3550,1956,3
2823,43.75653203,-79.32589004,11429,4236,3879,1921,3
2824,43.7466724,-79.3293379,10368,3903,3872,1885,3
2825,43.76031399,-79.36644507,9989,3854,3847,2124,3
2826,43.7539038,-79.37329563,9254,3775,3198,2242,3
2827,43.73455515,-79.42601259,6643,2476,2403,1903,3
2828,43.72531704,-79.42312948,5903,2211,2303,1754,3
2841,43.66287238,-79.34308214,3478,1201,2579,1570,1
2846,43.70190198,-79.2497265,9713,2827,3127,2579,3
2860,43.6706688,-79.37447235,1315,580,971,1252,1
2870,43.64248324,-79.48132094,5940,1801,1851,1566,3
2871,43.66084456,-79.44113033,2859,943,1007,1511,1
2872,43.66947671,-79.37251404,1482,644,839,1243,1
2874,43.66514156,-79.33779677,3795,1296,2064,1698,1
2875,43.66948045,-79.38109913,812,425,882,1147,1
2880,43.66488286,-79.37917062,972,460,628,1065,1
2886,44.13300653,-79.78424683,52870,15617,200000,4478,3
2889,43.70435854,-79.39335346,3801,1748,1893,1412,3
2890,43.67661524,-79.49255084,7045,2313,2363,2190,3
2891,43.68058878,-79.48588493,6879,2393,2498,2177,3
2892,43.69863972,-79.44549179,4779,1857,1914,1783,3
2893,43.70250579,-79.4455587,5158,1901,2097,1825,3
