TRACTID,LONGITUDE,LATITUDE
2,-79.42728666,43.87819313
140,-79.75362093,43.74642852
748,-79.67711027,43.59339743
1035,-79.44613491,43.76878206
1141,-79.70829243,43.4181211
1199,-79.41038324,43.69593689
1266,-79.39184577,43.73860923
1342,-79.26491083,43.76548832
1383,-79.50935017,43.64425552
1613,-79.77608096,43.76084529
1837,-79.80068628,43.68583872
2004,-79.27197251,43.83403609
2201,-79.73781995,43.77935085
2673,-79.84187167,43.51861567
2905,-79.55816088,43.65143533
3052,-79.44885477,43.787757
3463,-79.36474355,43.70725554
3577,-79.32494393,43.76060536
3640,-79.47186081,44.06079692
3969,-79.55452793,43.74518748
