,0
2,POINT (-79.4272866628539 43.87819312501162)
12,POINT (-79.41911599817678 43.84193031329616)
26,POINT (-79.39477309175474 43.89151585165683)
27,POINT (-79.39927715677746 43.88403804574861)
28,POINT (-79.41067964643841 43.88293090984639)
32,POINT (-79.45728290040043 43.90082623974006)
48,POINT (-79.45590017499342 43.89158087217356)
95,POINT (-79.48786228836772 44.02640165858153)
108,POINT (-79.48932435175951 44.03769299000029)
117,POINT (-79.69542729604409 43.56241774107431)
126,POINT (-79.78059163697425 43.57570145011731)
127,POINT (-79.62161811183425 43.58080749467602)
128,POINT (-79.62985810096329 43.57350932057112)
130,POINT (-79.09096793002075 43.83445910627647)
132,POINT (-79.07197364625267 43.84344261148258)
135,POINT (-79.44949228085731 44.03422991687156)
136,POINT (-79.42616405446273 44.03992725742355)
137,POINT (-79.78962088845836 43.69462564238022)
138,POINT (-79.77592785294387 43.68529018162025)
139,POINT (-79.75983743850158 43.74252764146492)
140,POINT (-79.75362093321424 43.74642852054983)
141,POINT (-79.72424288419577 43.87919126910149)
142,POINT (-79.71031266464686 43.86468884966047)
143,POINT (-79.83810835997589 43.79643098480425)
144,POINT (-79.90244534679996 43.73788175487634)
145,POINT (-79.70674377471833 43.56885561259935)
160,POINT (-79.46825351442611 43.94494382679591)
166,POINT (-79.47051899179925 43.95463758263921)
167,POINT (-79.44444973762796 43.95456426805557)
170,POINT (-79.66599317631903 43.62517882769711)
171,POINT (-79.62843250016617 43.63979344279324)
172,POINT (-79.6329722735766 43.7218041330377)
173,POINT (-79.62912017789216 43.71862912206176)
177,POINT (-79.70231017880116 43.61614554890814)
178,POINT (-79.71485171427169 43.60653333226457)
193,POINT (-79.49230803816286 44.04671016883165)
205,POINT (-79.51563886746501 43.84526215295132)
208,POINT (-79.55478750382301 43.79295267912742)
282,POINT (-79.55079357287833 43.80056513196937)
285,POINT (-79.51220974789345 43.80715392700689)
295,POINT (-79.48792560835294 43.83581301742697)
453,POINT (-79.391439021821 43.69745607299632)
499,POINT (-79.61108452949027 43.80648486446715)
500,POINT (-79.59279679803198 43.80490972941328)
506,POINT (-79.53409025049429 43.858038706103)
536,POINT (-79.23026044311683 43.78153001366151)
538,POINT (-79.26838404926964 43.79914925708084)
539,POINT (-79.25395189993483 43.80409959610132)
552,POINT (-79.24815148961459 43.77770666577901)
642,POINT (-79.26020318404629 43.84826694808823)
643,POINT (-79.25933045445038 43.83837727265376)
644,POINT (-79.29788056550318 43.83950666238677)
670,POINT (-79.24322639364061 43.86282283975497)
682,POINT (-79.41579818778723 43.64207378388206)
684,POINT (-79.4072102058463 43.64322176047876)
685,POINT (-79.24669791231064 43.87209443667863)
702,POINT (-79.74086053904061 43.64503639025084)
703,POINT (-79.76618020054205 43.62461831647393)
726,POINT (-79.37119401390484 43.87565743401809)
728,POINT (-79.32879194612171 43.8858156925278)
736,POINT (-79.78974027697181 43.68084605729111)
737,POINT (-79.75684277653939 43.61322997666055)
738,POINT (-79.72814339888353 43.61859577373575)
739,POINT (-79.5650004328278 43.81507925221118)
740,POINT (-79.74801221899571 43.75140321587411)
744,POINT (-79.73461227932248 43.76261203362905)
745,POINT (-79.65491605714146 43.67093254937712)
747,POINT (-79.69099115478873 43.6039631308937)
748,POINT (-79.67711026665715 43.59339742643137)
769,POINT (-79.30247306235351 43.88727524802638)
775,POINT (-79.03123041254645 43.87385233615129)
776,POINT (-79.04544519998829 43.86904461017576)
808,POINT (-79.05890500851055 43.8944615618963)
882,POINT (-79.77547113248708 43.42199922111127)
891,POINT (-79.47542132626805 43.84019650228835)
898,POINT (-79.52133387903498 43.71189584011415)
900,POINT (-79.48495712991455 43.71454322611333)
901,POINT (-79.47541725494445 43.71689843144305)
902,POINT (-79.45878529144866 43.72038938600526)
939,POINT (-79.87106916545213 43.63840681459625)
946,POINT (-79.47888191835938 43.7029360864505)
949,POINT (-79.54154665751109 43.70145572308619)
951,POINT (-79.22088371723348 43.73649841561364)
952,POINT (-79.22731760646491 43.72780105391296)
953,POINT (-79.16368083284037 43.76805028674481)
954,POINT (-79.55653830126727 44.12146345994748)
956,POINT (-79.26551719095494 43.69194212332297)
957,POINT (-79.30683946373803 43.76211262486243)
958,POINT (-79.31310854330857 43.75845400348178)
962,POINT (-79.38515173880243 43.63895185408771)
963,POINT (-79.73129241805003 43.5549195999758)
975,POINT (-79.22368336766586 43.76914885781905)
976,POINT (-79.23521396863671 43.76207900192602)
980,POINT (-79.65188081593911 43.5145989241166)
981,POINT (-79.63731026499516 43.5218581860152)
983,POINT (-79.59762174250005 43.55934192440979)
984,POINT (-79.58759005998829 43.5673715841458)
990,POINT (-79.46216873334393 43.83720441410899)
991,POINT (-79.77304057197 44.07486644199982)
993,POINT (-79.60616294491344 43.60418015411228)
994,POINT (-79.60331286389467 43.61501219464017)
1001,POINT (-79.43060635903835 43.98820162286049)
1003,POINT (-79.71018769023699 43.80718033162637)
1004,POINT (-79.44594531531995 43.73771638747687)
1005,POINT (-79.46589138917913 43.73139751237279)
1007,POINT (-79.57999648362798 43.57481816085377)
1009,POINT (-79.57873745743586 43.60181727789251)
1012,POINT (-79.42869193316834 43.74759785158908)
1013,POINT (-79.40080771042598 43.76096274684447)
1015,POINT (-79.65930239108198 43.55448999613442)
1016,POINT (-79.65012894167683 43.55748178259236)
1017,POINT (-79.66046037303326 43.56394961125589)
1019,POINT (-79.57303152682969 43.82720630751957)
1020,POINT (-79.5372638592454 43.74183666687316)
1023,POINT (-79.43017258166005 43.78040574483961)
1024,POINT (-79.42773544768338 43.78827735003227)
1026,POINT (-79.52006878803884 43.7268364456398)
1027,POINT (-79.53574722999474 43.72355704960918)
1029,POINT (-79.49017494628369 43.73796883261529)
1030,POINT (-79.34618065898835 43.78198617418004)
1033,POINT (-79.23762339062344 43.71195943445559)
1035,POINT (-79.44613490653137 43.76878206081635)
1036,POINT (-79.75904015695954 43.47630837061987)
1037,POINT (-79.27848174115331 43.68276067275739)
1041,POINT (-79.45707334125527 43.67067997236686)
1042,POINT (-79.44184088427933 43.67071458597311)
1043,POINT (-79.44780225337325 43.67435836670228)
1044,POINT (-79.45470600039846 43.67920060022744)
1045,POINT (-79.44738304570024 43.68066187130205)
1046,POINT (-79.43849338613434 43.67654545894526)
1047,POINT (-79.42952618999111 43.67799293165442)
1048,POINT (-79.42842176269372 43.67304021616967)
1049,POINT (-79.42020687185635 43.67805539567129)
1050,POINT (-79.40611800424276 43.67721964643624)
1055,POINT (-79.24275937547417 43.72412907822208)
1056,POINT (-79.25759422266155 43.70667905925019)
1059,POINT (-79.78754230508548 43.5795490540187)
1062,POINT (-79.28773865548868 43.70495603453585)
1064,POINT (-79.27324884853988 43.70677700282649)
1065,POINT (-79.26363539180599 43.71113592207956)
1066,POINT (-79.27181303919384 43.92590747010066)
1080,POINT (-79.39692571517247 43.68527183624736)
1081,POINT (-79.39960753658443 43.6916927767675)
1082,POINT (-79.39719800169075 43.69442325159424)
1083,POINT (-79.390338215466 43.68673978846198)
1084,POINT (-79.38101099433661 43.68991566116553)
1085,POINT (-79.38277590386708 43.69816463801449)
1086,POINT (-79.38254692962391 43.70674263493111)
1089,POINT (-79.43293888338556 43.70315414144831)
1090,POINT (-79.42150755497912 43.70576103990577)
1091,POINT (-79.4133655075297 43.70702411391864)
1092,POINT (-79.6878072749016 43.71129667308392)
1093,POINT (-79.69595975433847 43.69975929804095)
1097,POINT (-79.76044933953409 43.68572395986441)
1105,POINT (-79.65749652540674 43.46900360224989)
1106,POINT (-79.67109254000343 43.45722115691814)
1107,POINT (-79.680094582804 43.44772999517244)
1108,POINT (-79.66551536878016 43.44726339633529)
1109,POINT (-79.33538298184997 43.64724310158087)
1110,POINT (-79.38167343559545 43.62313686593851)
1116,POINT (-79.72463717044801 43.40929433697956)
1119,POINT (-79.41808801346845 43.64719141399196)
1120,POINT (-79.42636390756299 43.6453988272257)
1121,POINT (-79.43017278442801 43.6511998426983)
1122,POINT (-79.43492978752221 43.64749688854057)
1124,POINT (-79.4448186490588 43.64259257838796)
1125,POINT (-79.4510993236776 43.64224793895451)
1127,POINT (-79.46108972554664 43.66464063690233)
1128,POINT (-79.46788624337741 43.66410823297578)
1131,POINT (-79.36641464546031 43.90753039674239)
1133,POINT (-79.40499406691731 43.65975184292972)
1134,POINT (-79.4066460163353 43.66409492833215)
1135,POINT (-79.39742285456595 43.66324189601723)
